"Zilele de post și posturi","Miercurile și vinerile de peste an, afară de cele cu dezlegare, insemnate cu harți"
"Zilele de post și posturi","Ajunul Bobotezei <r>(5 ianuarie)</r>"
"Zilele de post și posturi","Tăierea Capului Sfântului Ioan Botezătorul <r>(29 august)</r>"
"Zilele de post și posturi","Înălțarea Sfintei Cruci <r>(14 septembrie)</r>"
"Zilele de post și posturi","Postul Sfintelor Paști <r>(27 februarie - 15 aprilie)</r>"
"Zilele de post și posturi","Postul Sfinților Apostoli Petru si Pavel <r>(12 iunie - 28 iunie)</r>"
"Zilele de post și posturi","Postul Adormirii Maicii Domnului <r>(1 august - 14 august)</r>"
"Zilele de post și posturi","Postul Nașterii Domnului <r>(14 noiembrie - 24 decembrie)</r>"
"Zile in care nu se săvârșește Sfânta Liturghie","Miercuri și vineri în săptămâna dinaintea Postului Sfintelor Paști <r>(12 aprilie și 14 aprilie)</r>"
"Zile in care nu se săvârșește Sfânta Liturghie","Luni și marți în prima săptămână a Postului Sfintelor Paști <r>(17 aprilie și 18 aprilie)</r>"
"Zile in care nu se săvârșește Sfânta Liturghie","Vineri în săptămâna Patimilor <r>(14 aprilie)</r>"
"Perioade în care nu se fac nunți","În toate zilele de post de peste an"
"Perioade în care nu se fac nunți","În zilele Praznicelor împărătești și ajunul acestora"
"Perioade în care nu se fac nunți","În săptămâna lăsatului sec de carne <r>(19 februarie - 25 februarie)</r>"
"Perioade în care nu se fac nunți","În Postul Sfintelor Paști <r>(26 februarie - 16 aprilie)</r>"
"Perioade în care nu se fac nunți","În Săptămâna Luminată <r>(17 aprilie - 23 aprilie)</r>"
"Perioade în care nu se fac nunți","În Postul Sfinților Apostoli Petru si Pavel <r>(12 iunie - 28 iunie)</r>"
"Perioade în care nu se fac nunți","În Postul Adormirii Maicii Domnului <r>(1 august - 15 august)</r>"
"Perioade în care nu se fac nunți","În Postul Nașterii Domnului <r>(14 noiembrie - 24 decembrie)</r>"
"Perioade în care nu se fac nunți","În perioada de la Crăciun până la Bobotează <r>(25 decembrie - 6 ianuarie)</r>"
"Sărbători bisericești naționale","Înălțarea Domnului - Ziua Eroilor <r>(25 mai)</r>"
"Sărbători bisericești naționale","Sf. Apostol Andrei cel întâi chemat - Ocrotitorul României <r>(30 noiembrie)</r>"
"Zile și sărbători legale în care nu se lucrează","<r>1 și 2 ianuarie</r>, Anul Nou"
"Zile și sărbători legale în care nu se lucrează","<r>16 aprilie și 17 aprilie</r>, prima și a doua zi de Paști"
"Zile și sărbători legale în care nu se lucrează","<r>1 mai</r>, ziua internațională a muncii"
"Zile și sărbători legale în care nu se lucrează","<r>4 iunie și 5 iunie</r>, prima și a doua zi de Rusalii"
"Zile și sărbători legale în care nu se lucrează","<r>15 august</r>, Adormirea Maicii Domnului"
"Zile și sărbători legale în care nu se lucrează","<r>30 noiembrie</r>, Sfântul Andrei"
"Zile și sărbători legale în care nu se lucrează","<r>1 decembrie</r>, Ziua Națională a României"
"Zile și sărbători legale în care nu se lucrează","<r>25 și 26 decembrie</r>, prima și a doua zi de Crăciun"
"Zile și date importante","Duminică, <r>17 mai</r> - Ziua Națională a Familiei"
"Zile și date importante","Duminică, <r>7 iunie</r> - Ziua mamei și copilului"
"Zile și date importante","<r>1 septembrie</r> - Ziua rugăciunii pentru mediu"
"Zile și date importante","<r>13 noiembrie</r> - Ziua Bibliei"
